0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.652,0.196,0.652,0.283,0.609,0.304,0.609,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.696,0.543,0.696,0.63,0.652,0.37,2.0
0.63,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.652,0.652,0.37,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.63,0.37,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.435,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.391,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.391,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.587,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.63,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.674,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.63,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.435,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.391,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.696,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.652,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.717,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.717,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
0.652,0.196,0.652,0.283,0.609,0.304,0.587,0.37,0.587,0.435,0.696,0.304,0.696,0.37,0.717,0.457,0.63,0.457,0.63,0.543,0.63,0.63,0.674,0.457,0.674,0.543,0.674,0.63,0.652,0.37,2.0
