0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,0.0,0.65,0.39,0.63,0.37,0.0,0.0,0.0,0.0,0.63,0.39,0.0,0.0,0.0,0.0,0.48,0.48,0.46,0.65,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.0,0.0,0.0,0.0,0.63,0.37,0.0,0.0,0.0,0.0,0.43,0.48,0.0,0.0,0.0,0.0,0.48,0.48,0.46,0.65,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.0,0.0,0.65,0.39,0.63,0.37,0.0,0.0,0.0,0.0,0.63,0.39,0.0,0.0,0.0,0.0,0.48,0.5,0.46,0.65,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.0,0.0,0.0,0.0,0.63,0.35,0.0,0.0,0.0,0.0,0.43,0.48,0.0,0.0,0.0,0.0,0.48,0.48,0.46,0.63,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.17,0.54,0.15,0.67,0.63,0.37,0.22,0.83,0.33,0.85,0.43,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.46,0.65,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.72,0.46,0.15,0.65,0.63,0.37,0.24,0.83,0.33,0.85,0.65,0.37,0.0,0.0,0.0,0.0,0.5,0.52,0.46,0.65,0.35,0.85,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.0,0.0,0.61,0.41,0.63,0.37,0.0,0.0,0.0,0.0,0.63,0.39,0.0,0.0,0.0,0.0,0.48,0.48,0.46,0.65,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.59,0.46,1.0
0.24,0.5,0.2,0.63,0.63,0.35,0.26,0.8,0.35,0.83,0.48,0.46,0.0,0.0,0.0,0.0,0.28,0.85,0.28,0.87,0.0,0.0,0.24,0.83,0.0,0.0,0.24,0.96,0.59,0.43,1.0
0.24,0.5,0.22,0.63,0.22,0.67,0.28,0.8,0.37,0.83,0.22,0.63,0.24,0.57,0.24,0.59,0.26,0.8,0.3,0.87,0.26,0.93,0.28,0.78,0.0,0.0,0.26,0.96,0.24,0.72,1.0
0.24,0.48,0.24,0.61,0.22,0.65,0.26,0.76,0.37,0.83,0.24,0.63,0.24,0.57,0.0,0.0,0.28,0.78,0.33,0.87,0.26,0.93,0.28,0.76,0.35,0.83,0.0,0.0,0.26,0.7,1.0
0.26,0.48,0.24,0.59,0.24,0.63,0.28,0.76,0.37,0.83,0.24,0.59,0.26,0.57,0.26,0.57,0.3,0.78,0.35,0.85,0.28,0.93,0.3,0.76,0.37,0.83,0.28,0.93,0.26,0.7,1.0
0.26,0.46,0.26,0.59,0.26,0.63,0.28,0.74,0.37,0.8,0.24,0.57,0.26,0.54,0.28,0.54,0.3,0.76,0.37,0.83,0.3,0.91,0.3,0.76,0.39,0.83,0.3,0.91,0.28,0.67,1.0
0.28,0.46,0.26,0.57,0.26,0.61,0.3,0.74,0.37,0.8,0.26,0.57,0.28,0.52,0.35,0.63,0.3,0.76,0.37,0.8,0.37,0.8,0.33,0.74,0.0,0.0,0.3,0.89,0.28,0.67,1.0
0.3,0.43,0.28,0.54,0.26,0.54,0.28,0.54,0.26,0.52,0.26,0.54,0.28,0.52,0.3,0.52,0.33,0.74,0.37,0.83,0.33,0.89,0.33,0.72,0.37,0.78,0.33,0.89,0.3,0.65,1.0
0.3,0.43,0.28,0.54,0.26,0.54,0.0,0.0,0.28,0.5,0.28,0.52,0.3,0.5,0.33,0.52,0.33,0.72,0.39,0.8,0.35,0.87,0.33,0.7,0.39,0.78,0.39,0.8,0.3,0.63,1.0
0.33,0.41,0.3,0.52,0.28,0.54,0.3,0.48,0.37,0.65,0.28,0.52,0.35,0.61,0.39,0.65,0.33,0.72,0.37,0.78,0.37,0.87,0.33,0.7,0.35,0.78,0.37,0.87,0.3,0.63,1.0
0.33,0.41,0.3,0.52,0.33,0.57,0.0,0.0,0.41,0.78,0.28,0.52,0.33,0.48,0.0,0.0,0.35,0.7,0.37,0.78,0.39,0.87,0.35,0.7,0.35,0.76,0.39,0.85,0.33,0.61,1.0
0.35,0.41,0.33,0.52,0.33,0.57,0.37,0.7,0.39,0.78,0.3,0.52,0.33,0.48,0.0,0.0,0.37,0.72,0.43,0.83,0.43,0.87,0.39,0.7,0.43,0.78,0.0,0.0,0.35,0.63,1.0
0.37,0.39,0.35,0.52,0.35,0.57,0.0,0.0,0.41,0.59,0.33,0.5,0.39,0.57,0.43,0.57,0.37,0.7,0.41,0.78,0.46,0.83,0.39,0.7,0.43,0.76,0.46,0.8,0.35,0.61,1.0
0.39,0.39,0.35,0.5,0.37,0.57,0.0,0.0,0.41,0.59,0.35,0.5,0.39,0.54,0.43,0.57,0.37,0.7,0.43,0.8,0.43,0.78,0.39,0.67,0.43,0.74,0.48,0.8,0.37,0.61,1.0
0.39,0.39,0.37,0.5,0.35,0.5,0.0,0.0,0.41,0.59,0.35,0.48,0.41,0.48,0.46,0.57,0.39,0.67,0.39,0.74,0.43,0.78,0.39,0.67,0.43,0.7,0.46,0.78,0.39,0.59,1.0
0.41,0.37,0.39,0.5,0.39,0.54,0.41,0.67,0.46,0.76,0.37,0.48,0.46,0.5,0.46,0.54,0.39,0.7,0.39,0.85,0.0,0.0,0.41,0.67,0.5,0.78,0.0,0.0,0.39,0.61,1.0
0.41,0.37,0.41,0.5,0.41,0.54,0.43,0.67,0.46,0.76,0.37,0.48,0.48,0.48,0.46,0.54,0.41,0.67,0.43,0.76,0.5,0.76,0.41,0.65,0.48,0.76,0.5,0.76,0.41,0.59,1.0
0.43,0.37,0.41,0.48,0.37,0.48,0.0,0.0,0.46,0.59,0.39,0.46,0.46,0.5,0.48,0.59,0.43,0.65,0.46,0.78,0.5,0.76,0.43,0.65,0.5,0.78,0.5,0.76,0.41,0.57,1.0
0.46,0.35,0.43,0.48,0.5,0.46,0.63,0.37,0.0,0.0,0.39,0.46,0.43,0.46,0.43,0.41,0.46,0.65,0.48,0.7,0.5,0.76,0.41,0.65,0.48,0.7,0.5,0.76,0.43,0.57,1.0
0.48,0.35,0.43,0.46,0.46,0.52,0.5,0.59,0.5,0.57,0.41,0.46,0.46,0.43,0.5,0.57,0.46,0.65,0.48,0.7,0.5,0.76,0.43,0.65,0.41,0.72,0.39,0.8,0.43,0.57,1.0
0.5,0.35,0.46,0.46,0.48,0.52,0.5,0.65,0.54,0.74,0.43,0.43,0.46,0.41,0.48,0.41,0.46,0.63,0.5,0.72,0.52,0.76,0.46,0.63,0.43,0.72,0.39,0.8,0.46,0.54,1.0
0.5,0.33,0.48,0.46,0.5,0.52,0.5,0.63,0.54,0.74,0.43,0.43,0.48,0.43,0.48,0.41,0.48,0.63,0.52,0.7,0.52,0.74,0.43,0.61,0.46,0.7,0.41,0.78,0.46,0.54,1.0
0.5,0.33,0.48,0.46,0.52,0.52,0.52,0.63,0.54,0.72,0.43,0.43,0.46,0.48,0.5,0.39,0.5,0.63,0.52,0.7,0.52,0.78,0.46,0.63,0.48,0.67,0.41,0.78,0.48,0.54,1.0
0.48,0.33,0.57,0.41,0.52,0.52,0.54,0.61,0.57,0.7,0.46,0.41,0.48,0.43,0.5,0.39,0.5,0.61,0.52,0.65,0.52,0.78,0.48,0.61,0.48,0.67,0.43,0.76,0.5,0.54,1.0
